obs_alt,obs_vel,obs_fuel,obs_mass,obs_pitch,obs_heading,obs_roll,obs_pos_x,obs_pos_y,obs_pos_z,obs_ap,obs_pe,obs_time_to_ap,act_throttle,act_pitch,act_stage
46501.16680954385,556.8333040766502,793.1778564453125,14751.087890625,15.662078857421875,90.38372802734375,87.38832092285156,192732.33813308526,-1098.3611110576726,-617103.5554319281,68190.08738836972,-555990.696858608,78.70362007644803,0.7,0.16666666666666666,0.0
46567.94687498186,556.2692116054515,792.659912109375,14745.3330078125,15.653533935546875,90.3818130493164,87.38774108886719,192826.40970693246,-1099.0088742594705,-617144.1305117949,68224.86672683421,-555858.1788890029,78.66573627121329,0.7,0.16666666666666666,0.0
46634.65928679996,555.7056919379604,792.1419677734375,14739.578125,15.64556884765625,90.37992858886719,87.38717651367188,192920.58906184835,-1099.6575701131667,-617184.5912368642,68259.64219947648,-555725.3578646365,78.62793350097593,0.7,0.16666666666666666,0.0
46701.30411727505,555.1427962595249,791.6240234375,14733.822265625,15.63824462890625,90.37804412841797,87.38658142089844,193014.87625548543,-1100.3071937954014,-617224.9376160563,68294.41782166343,-555592.23477694,78.59021935295038,0.7,0.16666666666666666,0.0
46756.789906203514,554.67420160977,791.1923828125,14729.0263671875,15.63262939453125,90.37650299072266,87.38609313964844,193093.5313353668,-1100.849252126905,-617258.4722603168,68323.39829212229,-555481.0679163028,78.5588599354237,0.7,0.16666666666666666,0.0
46823.311037515756,554.1125129822254,790.6744384765625,14723.271484375,15.626434326171875,90.37462615966797,87.38551330566406,193188.0163839311,-1101.5005640876248,-617298.609040783,68358.17916186014,-555347.3913044686,78.52131786633669,0.7,0.16666666666666666,0.0
46889.76481052174,553.5514827831839,790.156494140625,14717.5166015625,15.620849609375,90.3727798461914,87.38487243652344,193282.60943552078,-1102.1527897780513,-617338.6315189076,68392.96292665869,-555213.4118118624,78.48386990865816,0.7,0.16666666666666666,0.0
46956.151305952924,552.9911545729326,789.6385498046875,14711.76171875,15.61578369140625,90.37092590332031,87.38426208496094,193377.31054680631,-1102.8059236173356,-617378.5397123805,68427.75299426366,-555079.1302547267,78.44652255384051,0.7,0.16666666666666666,0.0
47011.422055221745,552.5247644642359,789.2069091796875,14706.9658203125,15.61187744140625,90.36943054199219,87.38381958007812,193456.31072874865,-1103.3508915922023,-617411.709255626,68456.7506277744,-554966.9981271215,78.41547876345419,0.7,0.16666666666666666,0.0
47077.68543158914,551.9657426129911,788.68896484375,14701.2109375,15.607513427734375,90.36764526367188,87.38323974609375,193551.21010353835,-1104.005675995322,-617451.4079848126,68491.55382204684,-554832.1615748027,78.37831916495492,0.7,0.16666666666666666,0.0
47143.88177198812,551.4074267747604,788.1710205078125,14695.4560546875,15.603515625,90.36590576171875,87.38267517089844,193646.21770366322,-1104.661353763056,-617490.9924908032,68526.36369252822,-554697.0211704142,78.34126127535433,0.7,0.16666666666666666,0.0
47198.99424328585,550.9427065981706,787.7393798828125,14690.66015625,15.600372314453125,90.36446380615234,87.3822021484375,193725.47341859076,-1105.2084310806038,-617523.8923414939,68555.37731789052,-554584.1717431513,78.3104580544445,0.7,0.16666666666666666,0.0
47265.06790678308,550.3856955713303,787.221435546875,14684.904296875,15.59686279296875,90.36276245117188,87.38163757324219,193820.6795854571,-1105.865735100002,-617563.2674944175,68590.20028919727,-554448.4729545282,78.27358860897505,0.7,0.16666666666666666,0.0
47331.07477676822,549.829405038034,786.7034912109375,14679.150390625,15.593597412109375,90.36107635498047,87.38107299804688,193915.99414307726,-1106.5239199329233,-617602.5284857276,68625.031119777,-554312.4688873554,78.2368235020059,0.7,0.16666666666666666,0.0
47397.01494005008,549.2738396339981,786.185546875,14673.39453125,15.5904541015625,90.35939025878906,87.38055419921875,194011.41715130187,-1107.1829806446026,-617641.6753377963,68659.8701884785,-554176.1590497562,78.20016358888034,0.7,0.16666666666666666,0.0
47451.91418297158,548.8114214884039,785.75390625,14668.5986328125,15.5880126953125,90.35798645019531,87.38014221191406,194091.0192109442,-1107.73286525402,-617674.2105420555,68688.908984598,-554062.3334406832,78.16969402005225,0.7,0.16666666666666666,0.0
47517.73227718868,548.257176806749,785.2359619140625,14662.84375,15.58514404296875,90.3563003540039,87.37959289550781,194186.64119649283,-1108.393522320545,-617713.1481990803,68723.76253803656,-553925.4610057019,78.13322617918652,0.7,0.16666666666666666,0.0
47583.483908753726,547.7036409742425,784.718017578125,14657.0888671875,15.58245849609375,90.35462951660156,87.37904357910156,194282.37179807786,-1109.0550426666623,-617751.971778987,68758.6231240998,-553788.280381397,78.09686167921939,0.7,0.16666666666666666,0.0
47649.169164316496,547.1508350484137,784.2000732421875,14651.333984375,15.57989501953125,90.35297393798828,87.37849426269531,194378.2110740656,-1109.7174207341227,-617790.6813040505,68793.49239485408,-553650.791604554,78.06060377777783,0.7,0.16666666666666666,0.0
47703.856237096945,546.6907147137204,783.7684326171875,14646.5380859375,15.57781982421875,90.35159301757812,87.37806701660156,194458.16019594032,-1110.270055532344,-617822.8521332155,68822.5562819289,-553535.9815498022,78.03046950236501,0.7,0.16666666666666666,0.0
47769.42003026756,546.1392317671095,783.25048828125,14640.783203125,15.575469970703125,90.34994506835938,87.37754821777344,194554.19886198643,-1110.933997002507,-617861.3526165686,68857.44035516516,-553397.925566651,77.99440530614538,0.7,0.16666666666666666,0.0
47834.917694674456,545.5884831874214,782.7325439453125,14635.02734375,15.573211669921875,90.34835815429688,87.37704467773438,194650.34637018066,-1111.5987834819948,-617899.7391086845,68892.33351775946,-553259.5596824582,77.95844889366327,0.7,0.16666666666666666,0.0
47889.44862919336,545.1300710567008,782.3009033203125,14630.232421875,15.571380615234375,90.34700775146484,87.37663269042969,194730.5524793977,-1112.1534147543043,-617931.64079119,68921.4168812678,-553144.0169719873,77.92856537009868,0.7,0.16666666666666666,0.0
47954.82528284378,544.5806512404537,781.782958984375,14624.4765625,15.569305419921875,90.34544372558594,87.37614440917969,194826.89968361415,-1112.8197396800485,-617969.8183562203,68956.32540828118,-553005.0805049347,77.89280450835122,0.7,0.16666666666666666,0.0
48020.136054161005,544.0319480644014,781.2650146484375,14618.7216796875,15.56732177734375,90.34392547607422,87.37568664550781,194923.3558966601,-1113.4868978100747,-618007.8819922665,68991.24171442166,-552865.8316328521,77.85714937604962,0.7,0.16666666666666666,0.0
48085.38102872518,543.4839706904424,780.7470703125,14612.966796875,15.5654296875,90.34239959716797,87.37521362304688,195019.9211771008,-1114.1548845672924,-618045.8317197196,69026.16653082054,-552726.2699521821,77.82160151208717,0.7,0.16666666666666666,0.0
